KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K01704	K00052	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	leuD, IPMI-S	105	83.333	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	0.016	0.016	0.167	-2.205	-1.601	0.372	0.515	0.515	0.449	-1.716	0.627	0.449	1.039	0.264	0.627	0.675
K00053	K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	ilvC	106	84.127	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290 Valine, leucine and isoleucine biosynthesis,map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	-0.008	-0.008	0.142	-2.245	-1.629	0.347	0.49	0.49	0.424	-1.348	0.602	0.424	1.013	0.235	0.602	0.649
K01653	K00053	acetolactate synthase I/III small subunit [EC:2.2.1.6]	E2.2.1.6S, ilvH, ilvN	106	84.127	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290 Valine, leucine and isoleucine biosynthesis,map00650 Butanoate metabolism,map00660 C5-Branched dibasic acid metabolism,map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	-0.008	-0.008	0.142	-2.245	-1.629	0.347	0.49	0.49	0.424	-1.348	0.602	0.424	1.013	0.235	0.602	0.649
K00054	K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	mvaA	71	56.349	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	map00900 Terpenoid backbone biosynthesis,map01110 Biosynthesis of secondary metabolites	0.601	-0.825	-0.422	1.227	0.754	-1.192	-1.345	-0.933	-1.274	-1.408	-1.466	1.042	1.674	1.615	1.227	-1.519
K00055	K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	E1.1.1.90	1	0.794	Xylene degradation, xylene => methylbenzoate	map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00622 Xylene degradation,map00623 Toluene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00365	K00055	urate oxidase [EC:1.7.3.3]	uaZ	1	0.794	Purine degradation, xanthine => urea	map00230 Purine metabolism,map00232 Caffeine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00483	K00055	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	hpaB	1	0.794		map00350 Tyrosine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00594	K00055	alditol oxidase [EC:1.1.3.41]	xyoA, aldO	1	0.794		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00686	K00055	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]	tgl	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00839	K00055	(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]	pucG	1	0.794		map00230 Purine metabolism,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K00978	K00055	glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	rfbF	1	0.794		map00500 Starch and sucrose metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01136	K00055	iduronate 2-sulfatase [EC:3.1.6.13]	IDS	1	0.794	Dermatan sulfate degradation	map00531 Glycosaminoglycan degradation,map01100 Metabolic pathways,map04142 Lysosome	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01213	K00055	galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]	E3.2.1.67	1	0.794	Pectin degradation	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01308	K00055	g-D-glutamyl-meso-diaminopimelate peptidase [EC:3.4.19.11]	yqgT	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01466	K00055	allantoinase [EC:3.5.2.5]	allB	1	0.794	Purine degradation, xanthine => urea	map00230 Purine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01567	K00055	peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]	pdaA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01852	K00055	lanosterol synthase [EC:5.4.99.7]	LSS, ERG7	1	0.794	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	map00100 Steroid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K01994	K00055	LuxR family transcriptional regulator, transcriptional regulator of spore coat protein	gerE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02103	K00055	GntR family transcriptional regulator, arabinose operon transcriptional repressor	araR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02239	K00055	competence protein ComER	comER	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02249	K00055	competence protein ComGG	comGG	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02277	K00055	cytochrome c oxidase subunit IV [EC:7.1.1.9]	coxD, ctaF	1	0.794	Cytochrome c oxidase, prokaryotes	map00190 Oxidative phosphorylation,map01100 Metabolic pathways	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02383	K00055	flagellar protein FlbB	flbB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02488	K00055	two-component system, cell cycle response regulator [EC:2.7.7.65]	pleD	1	0.794		map02020 Two-component system,map04112 Cell cycle - Caulobacter	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02490	K00055	two-component system, response regulator, stage 0 sporulation protein F	spo0F	1	0.794		map02020 Two-component system,map02024 Quorum sensing	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02491	K00055	two-component system, sporulation sensor kinase A [EC:2.7.13.3]	kinA	1	0.794		map02020 Two-component system	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K02545	K00055	penicillin-binding protein 2 prime [EC:3.4.16.4]	mecA	1	0.794	Methicillin resistance	map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01501 beta-Lactam resistance	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K03409	K00055	chemotaxis protein CheX	cheX	1	0.794		map02030 Bacterial chemotaxis	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K03410	K00055	chemotaxis protein CheC	cheC	1	0.794		map02030 Bacterial chemotaxis	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K04769	K00055	AbrB family transcriptional regulator, stage V sporulation protein T	spoVT	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K05303	K00055	O-methyltransferase [EC:2.1.1.-]	K05303	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K05518	K00055	phosphoserine phosphatase RsbX [EC:3.1.3.3]	rsbX	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K05519	K00055	transcriptional activator of comK gene	med	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K05739	K00055	uncharacterized protein	seaA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K05793	K00055	tellurite resistance protein TerB	terB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06012	K00055	spore protease [EC:3.4.24.78]	gpr	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06208	K00055	chorismate mutase [EC:5.4.99.5]	aroH	1	0.794	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06283	K00055	putative DeoR family transcriptional regulator, stage III sporulation protein D	spoIIID	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06284	K00055	AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes	abrB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06294	K00055	spore germination protein D	gerD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06295	K00055	spore germination protein KA	gerKA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06296	K00055	spore germination protein KB	gerKB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06297	K00055	spore germination protein KC	gerKC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06299	K00055	spore germination protein PA	gerPA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06300	K00055	spore germination protein PB	gerPB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06301	K00055	spore germination protein PC	gerPC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06302	K00055	spore germination protein PD	gerPD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06303	K00055	spore germination protein PE	gerPE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06304	K00055	spore germination protein PF	gerPF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06305	K00055	spore germination protein Q	gerQ	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06306	K00055	spore germination protein	yaaH	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06308	K00055	spore germination protein	yfkR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06314	K00055	prespore-specific regulator	rsfA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06315	K00055	transcriptional regulator of the spore photoproduct lyase operon	splA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06317	K00055	inhibitor of the pro-sigma K processing machinery	bofA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06318	K00055	forespore regulator of the sigma-K checkpoint	bofC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06324	K00055	spore coat protein A, manganese oxidase [EC:1.16.3.3]	cotA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06327	K00055	spore coat protein D	cotD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06328	K00055	spore coat protein E	cotE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06329	K00055	spore coat protein F	cotF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06332	K00055	spore coat protein JA	cotJA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06333	K00055	spore coat protein JB	cotJB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06334	K00055	spore coat protein JC	cotJC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06343	K00055	spore coat protein Y	cotY	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06344	K00055	spore coat protein Z	cotZ	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06345	K00055	spore cortex protein	coxA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06348	K00055	sporulation inhibitor KapD	kapD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06370	K00055	morphogenetic protein associated with SpoVID	safA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06371	K00055	developmental checkpoint coupling sporulation initiation to replication initiation	sda	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06375	K00055	stage 0 sporulation protein B (sporulation initiation phosphotransferase) [EC:2.7.-.-]	spo0B	1	0.794		map02020 Two-component system,map02024 Quorum sensing	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06378	K00055	stage II sporulation protein AA (anti-sigma F factor antagonist)	spoIIAA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06379	K00055	stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	spoIIAB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06380	K00055	stage II sporulation protein B	spoIIB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06382	K00055	stage II sporulation protein E [EC:3.1.3.16]	spoIIE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06383	K00055	stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	spoIIGA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06386	K00055	stage II sporulation protein Q	spoIIQ	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06387	K00055	stage II sporulation protein R	spoIIR	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06390	K00055	stage III sporulation protein AA	spoIIIAA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06391	K00055	stage III sporulation protein AB	spoIIIAB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06392	K00055	stage III sporulation protein AC	spoIIIAC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06393	K00055	stage III sporulation protein AD	spoIIIAD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06394	K00055	stage III sporulation protein AE	spoIIIAE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06395	K00055	stage III sporulation protein AF	spoIIIAF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06396	K00055	stage III sporulation protein AG	spoIIIAG	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06397	K00055	stage III sporulation protein AH	spoIIIAH	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06401	K00055	stage IV sporulation protein FA	spoIVFA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06403	K00055	stage V sporulation protein AA	spoVAA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06404	K00055	stage V sporulation protein AB	spoVAB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06405	K00055	stage V sporulation protein AC	spoVAC	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06406	K00055	stage V sporulation protein AD	spoVAD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06407	K00055	stage V sporulation protein AE	spoVAE	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06408	K00055	stage V sporulation protein AF	spoVAF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06411	K00055	dipicolinate synthase subunit B	spoVFB	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06416	K00055	stage V sporulation protein S	spoVS	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06418	K00055	small acid-soluble spore protein A (major alpha-type SASP)	SASP-A, sspA	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06421	K00055	small acid-soluble spore protein D (minor alpha/beta-type SASP)	sspD	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06423	K00055	small acid-soluble spore protein F (minor alpha/beta-type SASP)	sspF	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06425	K00055	small acid-soluble spore protein H (minor)	sspH	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06426	K00055	small acid-soluble spore protein I (minor)	sspI	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06428	K00055	small acid-soluble spore protein K (minor)	sspK	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06429	K00055	small acid-soluble spore protein L (minor)	sspL	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06431	K00055	small acid-soluble spore protein N (minor)	sspN	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06434	K00055	small acid-soluble spore protein (thioredoxin-like protein)	tlp	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
K06436	K00055	spore coat assemly protein	yabG	1	0.794		 	1.217	1.217	1.067	0.611	1.067	0.864	0.722	0.722	0.787	0.663	0.611	1.818	0.21	0.26	0.611	0.564
